run,pdf_read_ms,chunking_ms,embedding_ms,db_insert_ms,search_ms
1,167.6906,2.7478,50305.1364,77.7376,690.0575
2,1031.9594,2.8257,49216.9948,22.9259,161.6424
3,112.5580,2.7333,39666.1055,21.1642,67.8052
4,148.1155,2.8607,31248.3704,25.2063,99.8323
5,129.2688,3.0958,33265.7383,23.8471,76.8642
6,132.1106,3.0129,32852.7559,23.7455,149.2670
7,154.9034,1.7697,32730.5410,25.4524,92.4717
8,151.6124,3.3503,34310.0998,39.1467,99.5497
9,134.6560,3.1144,32350.1654,23.6998,75.5868
10,127.5442,3.1260,30662.5898,23.1228,90.8522
11,171.0716,2.1858,29073.1414,25.7208,79.7287
12,137.2892,3.3563,33487.2875,25.0989,96.3260
13,147.3952,3.6472,34723.4994,23.2852,92.3808
14,139.3585,2.9650,34286.9711,22.9024,126.5743
15,196.0326,2.9761,34136.0196,25.7353,83.5745
16,131.3743,3.6195,34957.8628,23.5180,83.6916
17,142.3962,3.2185,31873.6598,24.2250,77.2089
18,134.7775,3.2233,28946.2108,26.9557,90.9945
19,135.9688,3.1850,33260.8168,27.2027,79.0824
20,158.4317,3.4031,34731.8779,22.3672,87.5085
21,154.7545,2.9572,34383.6832,25.8330,81.6689
22,138.2622,3.5105,34302.1797,27.8642,88.1585
23,139.3429,3.2485,34339.9197,24.8610,78.7754
24,143.5668,3.5290,32548.4600,24.3176,81.1760
25,148.7552,3.1057,30385.7065,25.6463,75.4607
26,141.2174,3.4329,32451.5625,25.3289,91.3678
27,142.7846,3.5622,35133.4991,25.3209,167.4772
28,149.2526,3.2806,35060.1904,22.1815,92.8616
29,151.7492,3.0663,34313.3080,25.6256,82.7052
30,131.7381,3.2931,34026.4206,26.0033,96.7234
31,143.6219,3.3165,33909.3641,24.5105,75.8786
32,131.6312,3.1682,30020.2482,24.3438,99.0431
33,148.4275,3.4535,31777.8742,25.0348,85.8042
34,136.9644,3.5325,35004.8898,23.5815,92.9106
35,136.7449,3.6657,34866.1325,24.0390,81.1881
36,147.0585,3.4380,34661.6174,24.7981,87.0433
37,136.8042,3.1742,35030.3608,61.3115,132.9765
38,151.7318,3.3309,34396.1858,26.9816,83.1798
39,131.5991,3.0768,29821.2731,24.5681,75.4208
40,134.1283,3.2475,30836.2654,25.7121,86.7845
41,157.4355,3.0915,34806.0280,24.9773,76.8317
42,143.1124,3.6678,35594.3404,25.9189,89.5592
43,158.1415,3.2881,35071.1137,27.2332,88.9132
44,133.7763,3.5271,34272.9206,26.5099,98.3977
45,135.5081,3.3618,34708.5084,26.3954,77.4464
46,134.1106,3.2843,30466.6037,25.2374,81.0429
47,138.0999,3.1747,32287.0455,24.1736,83.6782
48,138.6243,3.4414,34657.6596,24.6899,103.8021
49,139.9725,3.1880,35523.9742,25.8097,82.1909
50,135.2157,3.3451,35646.8876,28.8526,96.5606
51,150.8119,3.5216,34447.4440,23.6566,82.8837
52,159.2049,3.0984,35081.4461,27.0199,89.8379
53,147.0878,3.4729,30311.3757,25.2907,78.8939
54,146.0577,3.7222,31250.3413,29.3765,111.5971
55,148.1961,2.9286,35479.9803,25.3859,84.0993
56,158.2804,3.2330,34317.7482,27.1178,104.8155
57,139.8656,3.1214,34735.7954,27.3392,89.1960
58,144.5946,3.4154,34869.8379,22.9312,87.4996
59,157.4108,3.5006,35041.0658,25.8439,84.6376
60,141.5836,3.1696,30463.9702,26.4941,84.0313
61,139.0656,2.9651,30891.6897,25.5597,89.9960
62,149.6297,3.8172,35714.4940,25.3743,127.3528
63,144.6232,3.1099,35625.8494,24.8536,96.6872
64,142.4289,3.6195,34657.5486,26.0751,92.6888
65,133.1307,3.2114,34917.0983,24.1352,81.9650
66,146.0061,3.2158,35598.0270,23.4036,84.6642
67,156.4599,2.8267,30465.0391,60.7628,107.3843
68,130.3387,3.2514,30597.6203,27.4328,94.1971
69,189.8424,2.3559,34553.3538,28.4356,78.6512
70,160.1437,3.5389,35175.4870,23.9628,94.7439
71,148.1735,3.5768,35608.8376,25.0230,85.8150
72,173.4017,2.0632,35297.2938,24.8610,92.6672
73,129.6932,3.6912,33877.7851,25.7404,80.0406
74,172.2505,1.9248,31533.5364,23.7751,87.2065
75,134.8818,3.4103,31379.6695,28.1548,89.8274
76,156.6944,3.4824,35675.6507,25.3218,85.1129
77,151.0400,3.5770,35427.2642,26.3044,81.4308
78,161.3737,3.3281,34947.1734,25.0107,87.8634
79,134.1345,3.4042,35217.5413,25.2119,107.7448
80,183.8917,3.0291,34999.0775,59.5417,139.7753
81,156.4024,3.4896,31178.6808,58.1052,119.3994
82,149.8489,3.3289,29985.7795,26.3722,88.5382
83,134.3176,3.5292,35539.1469,25.7873,92.5573
84,139.3481,3.6983,35203.3353,28.3565,91.9669
85,134.6626,3.6479,35905.6430,26.6225,122.6041
86,143.8457,3.1748,36941.0539,23.5629,85.8493
87,141.3350,3.3356,34333.4372,25.9438,78.5932
88,128.9333,3.2212,29206.6112,27.9995,80.5277
89,139.3138,3.3312,32275.9926,27.8778,89.7690
90,143.8351,3.7781,29911.9618,26.4815,106.5826
91,150.2351,3.2148,32422.9975,24.8204,88.1886
92,142.7744,3.5164,34823.8381,26.5893,124.6482
93,161.1937,3.1071,35097.8064,25.5273,95.2173
94,141.5792,3.3422,35770.9591,25.6159,84.3510
95,150.0710,3.4484,35200.5883,26.7219,114.8631
96,145.3271,3.2502,35408.9581,23.0887,71.8677
97,143.3758,3.2932,30305.5055,25.7334,84.8073
98,135.7833,2.9615,30574.7325,27.4043,84.9742
99,134.1487,3.3851,35645.3532,28.1751,95.2331
100,140.7171,3.3625,35323.0941,25.5143,106.8861
